,X,Y
1427,76948,9088
1428,77204,9088
1429,27617,9089
1430,27873,9089
1431,28129,9089
1432,28385,9089
1433,28641,9089
1434,28897,9089
1435,29153,9089
1436,29409,9089
1437,29665,9089
1438,30177,9089
1439,30689,9089
1440,30945,9089
1441,42224,9328
1442,42480,9328
1443,42992,9328
1444,43504,9328
1445,44016,9328
1446,44528,9328
1447,44784,9328
1448,45296,9328
1449,46320,9328
1450,50672,9328
1451,51952,9328
1452,52464,9328
1453,54768,9328
1454,55024,9328
1455,55536,9328
1456,55792,9328
1457,56560,9328
1458,56816,9328
1459,57328,9328
1460,57840,9328
1461,58096,9328
1462,59376,9328
1463,59888,9328
1464,60144,9328
1465,61424,9328
1466,63216,9328
1467,69268,9344
1468,69524,9344
1469,71316,9344
1470,71572,9344
1471,72084,9344
1472,72340,9344
1473,73108,9344
1474,73620,9344
1475,73876,9344
1476,74388,9344
1477,74900,9344
1478,75156,9344
1479,75412,9344
1480,75668,9344
1481,75924,9344
1482,76180,9344
1483,76436,9344
1484,76948,9344
1485,77204,9344
1486,77460,9344
1487,26849,9345
1488,27361,9345
1489,29153,9345
1490,29665,9345
1491,30945,9345
1492,31201,9345
1493,31969,9345
1494,41712,9584
1495,41968,9584
1496,42224,9584
1497,44016,9584
1498,44272,9584
1499,44528,9584
1500,45040,9584
1501,46064,9584
1502,50160,9584
1503,50928,9584
1504,51184,9584
1505,51440,9584
1506,52464,9584
1507,53744,9584
1508,54512,9584
1509,55024,9584
1510,55792,9584
1511,56048,9584
1512,56816,9584
1513,57072,9584
1514,58096,9584
1515,59120,9584
1516,59632,9584
1517,59888,9584
1518,60656,9584
1519,61168,9584
1520,61424,9584
1521,62960,9584
1522,63216,9584
1523,64752,9584
1524,65264,9584
1525,66032,9584
1526,66288,9584
1527,67312,9584
1528,67568,9584
1529,67824,9584
1530,71572,9600
1531,71828,9600
1532,72084,9600
1533,72340,9600
1534,72596,9600
1535,72852,9600
1536,73108,9600
1537,73364,9600
1538,73876,9600
1539,74644,9600
1540,74900,9600
1541,76436,9600
1542,76692,9600
1543,77460,9600
1544,77716,9600
1545,77972,9600
1546,26593,9601
1547,26849,9601
1548,27105,9601
1549,27361,9601
1550,27617,9601
1551,27873,9601
1552,28129,9601
1553,28385,9601
1554,29409,9601
1555,30433,9601
1556,30945,9601
1557,31201,9601
1558,31457,9601
1559,31713,9601
1560,31969,9601
1561,41456,9840
1562,42224,9840
1563,42736,9840
1564,42992,9840
1565,44016,9840
1566,45296,9840
1567,45552,9840
1568,45808,9840
1569,47856,9840
1570,48624,9840
1571,49136,9840
1572,49392,9840
1573,49648,9840
1574,50160,9840
1575,50416,9840
1576,50928,9840
1577,51184,9840
1578,51696,9840
1579,52720,9840
