X,Y
56304,9328
56560,9328
56816,9328
57072,9328
57328,9328
57840,9328
58352,9328
59632,9328
60656,9328
61680,9328
61936,9328
62192,9328
62448,9328
69268,9344
71060,9344
74388,9344
75924,9344
76436,9344
76948,9344
77204,9344
41712,9584
42224,9584
42992,9584
45808,9584
46320,9584
49136,9584
55792,9584
56048,9584
57584,9584
58096,9584
59120,9584
60400,9584
60656,9584
61168,9584
61680,9584
61936,9584
62448,9584
65008,9584
66288,9584
72340,9600
73620,9600
75156,9600
76180,9600
76436,9600
76692,9600
76948,9600
77716,9600
41712,9840
42224,9840
43248,9840
43504,9840
45040,9840
47600,9840
48112,9840
48624,9840
52720,9840
55024,9840
55536,9840
57072,9840
57328,9840
58096,9840
58352,9840
58608,9840
58864,9840
59120,9840
59376,9840
60400,9840
60656,9840
61168,9840
61680,9840
62704,9840
63472,9840
66288,9840
67056,9840
68848,9840
73108,9856
74132,9856
76180,9856
76948,9856
77204,9856
41456,10096
42480,10096
43760,10096
45552,10096
47344,10096
47856,10096
48880,10096
54768,10096
55280,10096
56304,10096
56560,10096
56816,10096
57328,10096
59376,10096
59888,10096
61424,10096
61680,10096
61936,10096
62448,10096
62960,10096
63472,10096
64496,10096
64752,10096
65264,10096
65520,10096
66544,10096
67312,10096
67824,10096
69616,10096
72596,10112
73876,10112
74644,10112
75412,10112
75924,10112
77460,10112
40944,10352
41200,10352
41712,10352
46320,10352
47088,10352
47856,10352
49648,10352
51184,10352
52976,10352
53744,10352
57328,10352
57584,10352
57840,10352
58096,10352
58864,10352
59376,10352
60144,10352
60400,10352
60656,10352
61168,10352
61936,10352
62192,10352
62448,10352
62704,10352
63216,10352
64496,10352
65264,10352
66032,10352
67056,10352
68080,10352
68336,10352
68848,10352
69872,10352
71664,10352
75668,10368
75924,10368
41200,10608
41712,10608
42480,10608
43504,10608
44272,10608
46832,10608
48112,10608
48624,10608
49648,10608
50160,10608
50928,10608
51184,10608
52464,10608
52720,10608
55024,10608
56304,10608
56560,10608
57584,10608
59376,10608
59888,10608
60144,10608
60400,10608
61168,10608
61424,10608
62192,10608
63472,10608
63984,10608
64240,10608
64752,10608
65264,10608
66032,10608
66288,10608
66544,10608
66800,10608
68848,10608
69360,10608
69872,10608
71664,10608
73456,10608
40688,10864
40944,10864
44272,10864
47856,10864
49392,10864
50160,10864
51952,10864
53744,10864
54000,10864
55280,10864
56304,10864
58096,10864
59120,10864
60144,10864
60400,10864
60656,10864
60912,10864
61168,10864
61424,10864
61936,10864
62704,10864
62960,10864
63728,10864
64240,10864
65520,10864
66032,10864
66288,10864
66800,10864
67312,10864
67568,10864
68336,10864
69872,10864
70128,10864
70640,10864
71408,10864
71664,10864
71920,10864
72432,10864
73712,10864
