x,y,real_dapi,real_foxp3,real_cd19,real_cd68,real_cd4,real_cd3,real_cd8,real_sampleaf,fake_dapi,fake_foxp3,fake_cd19,fake_cd68,fake_cd4,fake_cd3,fake_cd8,fake_sampleaf
42189,28659,23.645,7.268,4.261,14.963,10.125,29.195,18.565,15.058,24.789,6.281,3.456,15.466,11.82,10.197,24.782,12.556
71885,16371,24.744,6.285,2.61,10.182,4.435,29.967,14.843,13.464,23.862,4.98,3.08,11.212,11.488,12.548,17.14,10.64
68813,10227,20.54,4.219,1.834,7.634,3.105,8.193,10.4,10.292,18.775,3.606,2.252,7.342,5.19,3.169,10.216,10.413
61645,40947,45.295,7.94,5.495,14.222,17.668,30.323,18.25,14.156,37.595,6.691,3.999,16.241,20.505,13.254,24.636,12.25
28877,68595,21.064,7.385,5.22,21.405,11.599,26.07,20.713,15.032,14.03,7.917,2.983,23.238,9.929,14.879,33.439,21.869
69837,23539,23.181,6.761,3.547,11.214,6.722,34.663,16.021,13.963,23.857,5.56,4.069,13.256,14.967,14.182,19.122,11.907
23757,8179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.675,4.313,3.232,10.331,11.521,3.511,17.156,10.42
37069,13299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.142,5.016,3.543,13.417,9.995,6.691,19.117,11.987
59597,76787,30.687,3.088,1.982,7.423,5.219,4.32,6.558,7.606,22.929,3.548,2.182,9.582,5.182,-2.72,7.961,13.24
22733,41971,39.07,9.941,3.744,19.039,8.9,14.272,26.029,21.639,32.357,8.628,2.808,22.204,15.866,17.061,34.144,16.0
37069,5107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.421,3.882,3.128,9.68,9.129,4.306,12.163,9.717
39117,63475,39.965,4.911,4.379,9.542,6.429,4.995,10.291,8.96,29.242,7.723,2.513,5.292,7.842,6.874,25.752,24.616
79053,23539,26.675,4.546,1.98,7.487,3.372,6.585,9.231,10.34,24.882,3.739,2.364,7.412,5.688,-0.565,9.169,10.109
61645,22515,34.58,5.204,3.845,10.16,8.634,13.739,13.589,11.257,30.012,4.512,3.747,12.833,13.567,5.405,15.869,11.852
75981,54259,25.948,8.806,4.733,14.521,8.081,29.972,19.664,17.071,23.92,8.262,3.565,18.588,14.376,11.154,25.413,17.084
46285,20467,28.694,4.815,3.869,9.704,7.542,10.754,10.722,10.582,27.416,4.281,3.61,11.241,13.701,4.39,14.96,11.999
51405,65523,41.466,9.213,4.407,19.096,11.921,16.53,22.95,18.188,42.006,11.746,3.092,24.861,13.376,18.025,37.649,27.89
11469,22515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.164,6.609,3.206,17.379,11.356,19.015,22.571,16.241
26829,40947,19.766,7.111,4.08,15.936,9.759,27.143,18.563,14.12,24.342,6.901,3.139,20.07,17.646,22.34,29.349,16.406
20685,26611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.771,8.06,2.82,20.963,16.356,15.294,35.489,20.116
72909,69619,37.049,7.052,4.442,13.786,6.636,25.215,17.121,15.004,28.386,8.092,3.336,19.219,9.24,7.981,24.334,21.388
19661,26611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.578,7.25,2.976,18.537,11.029,15.051,28.155,18.39
47309,49139,34.536,7.373,5.026,16.335,12.247,27.519,18.557,13.44,27.385,6.84,3.086,18.248,11.839,7.601,22.204,14.418
22733,47091,19.844,6.89,4.463,20.187,10.681,27.681,15.309,14.703,22.094,6.389,3.583,23.176,15.692,24.58,20.572,15.093
47309,20467,30.813,4.971,4.163,10.652,7.286,11.358,11.013,11.225,29.204,4.462,3.607,11.321,11.446,0.926,14.068,12.041
81101,35827,6.795,3.382,1.685,4.8,3.078,5.415,5.858,9.024,12.683,2.842,2.124,5.353,5.113,-2.203,5.236,10.417
22733,54259,22.602,7.058,5.057,21.049,10.546,25.875,18.755,14.198,27.957,9.834,3.035,25.325,12.734,7.937,33.615,24.806
30925,69619,24.39,7.343,5.044,22.436,11.7,29.31,20.109,14.892,19.545,7.387,2.95,22.148,8.894,8.106,25.854,16.269
90317,60403,0.469,1.438,1.196,1.09,2.227,2.766,0.921,5.648,7.36,2.535,2.141,2.954,1.85,-2.79,0.291,12.509
64717,44019,45.016,8.838,6.259,14.385,20.91,35.526,22.977,14.663,22.457,5.282,3.42,11.829,18.757,20.836,33.997,6.756
48333,42995,41.616,7.65,5.399,12.843,19.349,29.151,17.933,13.571,35.381,6.731,4.349,15.856,23.096,12.932,23.34,13.826
45261,27635,24.686,6.088,4.371,14.223,9.916,24.362,15.269,13.031,23.697,5.403,3.72,15.651,11.58,9.76,21.348,12.745
41165,23539,35.527,6.715,6.58,15.801,18.409,20.731,16.425,13.099,31.054,5.957,4.891,17.962,19.804,4.883,21.329,13.608
14541,6131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.707,5.968,2.881,13.565,8.491,2.491,15.563,13.27
70861,61427,26.682,7.93,5.055,14.897,9.55,33.738,18.452,15.324,25.621,8.977,3.541,19.277,15.758,12.087,29.742,21.739
63693,68595,34.021,3.95,4.651,11.596,6.857,5.734,8.034,8.769,28.364,6.169,3.101,16.629,9.019,0.467,15.661,22.206
50381,38899,24.411,7.431,5.327,12.563,14.039,37.428,17.001,13.528,24.16,6.69,4.011,15.183,15.728,15.503,24.724,14.126
62669,32755,24.926,6.893,4.427,12.016,12.382,31.631,15.864,13.17,24.989,5.597,3.624,13.376,18.07,9.865,19.324,11.295
57549,48115,26.752,7.223,4.974,13.51,12.806,27.406,16.145,12.796,24.196,7.686,3.119,16.187,10.641,9.34,20.99,17.054
64717,13299,21.5,6.084,2.805,9.882,4.441,23.165,14.573,13.402,21.02,5.091,3.2,11.924,8.542,9.697,16.915,11.477
33997,39923,21.023,7.188,4.399,14.138,9.297,26.883,18.038,14.024,25.298,7.419,2.927,19.432,15.478,18.786,34.745,17.704
32973,69619,21.226,6.94,4.77,17.527,12.048,28.881,19.09,13.929,20.716,6.657,3.057,20.268,14.058,9.588,24.872,15.245
36045,38899,22.749,6.937,4.579,13.221,9.734,26.595,17.343,13.352,25.263,6.406,3.25,17.481,16.124,22.197,26.115,15.178
21709,41971,38.034,7.286,4.687,13.913,12.761,28.628,19.365,13.878,34.331,6.765,3.424,17.815,20.848,22.791,27.751,15.813
35021,63475,21.801,3.384,3.585,6.185,4.696,4.454,5.623,7.632,22.498,7.993,2.331,11.486,6.994,6.613,15.346,28.196
67789,63475,36.7,4.547,4.186,7.298,6.089,5.92,7.59,8.518,36.53,6.724,3.286,13.246,7.774,14.406,13.959,20.774
55501,27635,22.755,6.37,4.694,12.042,10.855,26.921,15.528,12.833,25.055,5.234,3.878,12.219,14.439,9.709,17.497,10.946
74957,69619,28.462,7.809,5.293,15.259,7.668,34.349,19.086,16.035,24.31,8.326,3.521,21.253,9.923,11.446,27.152,19.653
25805,19443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.652,5.86,3.321,16.267,10.462,11.235,22.045,14.179
49357,16371,22.288,4.506,3.968,8.891,7.915,10.323,11.292,9.889,24.172,4.111,3.953,11.94,15.147,1.228,16.286,12.655
58573,59379,44.641,6.288,4.089,12.952,9.047,12.841,14.085,11.573,35.027,5.723,3.113,14.734,10.503,1.725,15.849,13.199
13517,61427,47.166,6.724,10.578,25.869,17.562,30.241,18.057,13.553,28.537,6.76,5.209,24.445,13.279,14.033,25.929,18.468
79053,55283,27.639,8.044,4.741,13.763,7.775,33.069,18.531,15.749,27.63,7.402,3.975,17.553,11.531,24.721,24.563,14.256
27853,20467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.634,5.37,3.33,13.019,8.808,5.122,20.675,12.779
24781,7155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.379,4.029,2.645,8.901,8.424,2.23,11.334,9.466
20685,30707,0.103,0.35,0.277,0.2,0.477,0.604,0.132,1.177,15.152,3.402,1.413,7.644,6.122,4.655,14.517,19.86
66765,44019,49.235,9.56,5.369,15.388,14.389,20.203,24.219,17.188,30.465,9.195,3.005,16.781,12.515,13.051,31.927,18.212
43213,41971,25.538,8.3,5.578,15.422,13.066,34.979,19.703,15.227,16.874,7.043,3.096,13.207,11.042,10.679,20.36,13.759
44237,51187,29.974,7.703,5.511,16.184,12.786,32.419,19.589,13.749,26.684,7.769,3.292,18.587,13.475,11.354,24.445,17.23
33997,37875,21.781,6.704,4.199,13.064,8.736,26.603,17.292,12.915,30.158,7.428,2.944,18.729,14.431,16.555,32.221,18.005
64717,41971,22.101,9.627,3.106,15.942,7.273,9.041,23.094,22.408,19.672,7.494,3.119,16.97,8.926,3.089,29.092,11.095
60621,64499,38.171,5.055,4.86,9.188,7.682,5.387,9.007,9.236,31.379,6.391,3.311,15.118,9.86,-1.002,14.764,19.875
41165,55283,25.99,8.041,5.478,20.403,14.172,29.744,20.772,14.439,28.924,7.917,3.321,24.641,21.377,8.284,34.45,16.048
60621,49139,24.46,7.697,4.9,15.735,13.876,29.607,17.202,13.841,20.717,6.744,3.024,17.226,11.14,8.995,21.843,11.803
78029,59379,35.749,6.164,3.979,11.487,5.993,16.592,13.827,12.561,29.015,6.954,3.283,16.687,11.191,5.314,20.142,19.229
85197,49139,25.882,8.79,4.267,15.393,7.206,31.461,20.558,18.175,24.376,7.776,3.333,16.988,5.326,15.857,23.244,12.969
26829,57331,37.347,5.006,4.594,12.274,7.431,6.255,10.524,9.547,26.585,5.643,2.987,14.838,5.55,-2.048,14.245,16.302
39117,34803,29.179,7.609,4.551,16.055,11.59,24.099,19.449,15.116,26.858,9.476,2.827,20.476,11.588,6.695,27.244,24.172
74957,16371,20.833,6.445,2.164,10.203,4.391,32.002,14.55,13.599,22.215,5.166,3.101,12.402,13.892,13.482,17.785,10.905
48333,57331,24.052,6.954,5.004,15.025,13.116,28.599,17.943,12.472,17.81,7.736,2.997,16.834,11.155,17.187,25.168,21.824
14541,46067,31.339,6.072,4.874,15.443,10.041,18.39,12.827,13.768,28.04,5.544,3.571,19.555,16.915,23.012,17.54,14.501
84173,39923,24.493,7.668,3.684,13.365,9.771,40.612,17.22,15.109,17.533,6.245,2.645,11.6,8.353,13.51,15.015,10.694
59597,70643,38.559,3.862,3.687,22.632,5.759,6.157,8.808,9.097,31.702,5.541,2.803,27.056,9.861,0.636,15.723,20.545
66765,27635,21.563,6.223,3.97,11.473,9.327,28.262,14.484,12.637,23.451,5.163,3.547,12.687,14.141,11.912,17.032,11.245
57549,74739,39.619,4.518,3.065,9.876,6.836,5.147,9.673,9.352,28.71,5.211,2.686,14.029,12.86,0.197,14.776,18.576
23757,51187,34.337,6.911,6.284,20.714,15.126,30.683,17.514,13.686,31.506,6.092,4.098,21.343,14.082,14.451,21.885,13.122
